Id,Date,Text
1611857552056225793,2023-01-07 22:49:21+00:00,RT @SpaceX: Falcon Heavy in the hangar at Launch Complex 39A in Florida https://t.co/juU6Im08zj
1611768674653982720,2023-01-07 16:56:11+00:00,Thread on how safe Tesla cars are https://t.co/M3Hf3q4kh3
1611423667107549184,2023-01-06 18:05:15+00:00,8 years later &amp; still no laws … 😢 https://t.co/9fjb24XvFG
1611146457222086657,2023-01-05 23:43:43+00:00,"If I dig my grave deep enough, maybe it comes out other side of Earth 🤔"
1611144990348161026,2023-01-05 23:37:53+00:00,Some habits are hard to break lol.  Maybe I should just get bulletproof shoes … https://t.co/8Ve7it6X0T
1611112185895473163,2023-01-05 21:27:32+00:00,Ouch my feet!! https://t.co/4pqBY6rZDu
1611047137705603072,2023-01-05 17:09:04+00:00,RT @Tesla: Tesla’s impact in California → https://t.co/4MudoNiCJG
1611035401225113600,2023-01-05 16:22:25+00:00,Elon Musk should
1611032877336236032,2023-01-05 16:12:24+00:00,Sped up trip there &amp; back again https://t.co/h9z4vt7kER
1610945173466546176,2023-01-05 10:23:53+00:00,Kevin McCarthy should be Speaker
1610454795177062401,2023-01-04 01:55:18+00:00,"12 months ago, I was Person of the Year"
1610434975270342656,2023-01-04 00:36:33+00:00,Please comment on this matter https://t.co/Oip43FcVo2
1610421293060599808,2023-01-03 23:42:11+00:00,"US govt agency demanded suspension of 250k accounts, including journalists &amp; Canadian officials! https://t.co/kcEMMCzF7d"
1610416059940495363,2023-01-03 23:21:23+00:00,https://t.co/dJvUeO2P5t
1610374789759205380,2023-01-03 20:37:23+00:00,Another episode of The Twitter Files https://t.co/vYpYivK7hv
1610299810220855297,2023-01-03 15:39:27+00:00,RT @SpaceX: Watch Falcon 9 launch 114 spacecraft to orbit → https://t.co/bJFjLCiTbK https://t.co/ZJ7ZOJXZOm
1609631955003518977,2023-01-01 19:25:38+00:00,"Hope you’re having a great day 1 2023!

One thing’s for sure, it won’t be boring."
1609254628113420290,2022-12-31 18:26:16+00:00,Sometimes it’s just better to make pizza at home
1609109899233071104,2022-12-31 08:51:10+00:00,"Twitter has a bookmark function accessible through share button on tweet. 

To read bookmarks, tap profile icon.

This obscure UI will be fixed in Jan."
1608939190548598784,2022-12-30 21:32:50+00:00,If you don’t think there’s at least a tiny chance you’re an NPC … you’re an NPC
1608922473839620096,2022-12-30 20:26:24+00:00,"New Twitter navigation coming in Jan that allows swiping to side to switch between recommended &amp; followed tweets, trends, topics, etc.

Until then, tap stars icon on upper right of home screen to switch. https://t.co/1OKh6kQrRZ"
1608828315581976576,2022-12-30 14:12:15+00:00,https://t.co/v1rrSsdwdg
1608735844478902274,2022-12-30 08:04:48+00:00,Launch 61 of 2022. Congrats SpaceX! https://t.co/tnTPZqYTd6
1608663342956302337,2022-12-30 03:16:43+00:00,New Twitter will strive to optimize unregretted user-minutes
1608657185986478080,2022-12-30 02:52:15+00:00,"RT @Tesla: 2022 was a huge year for EVs. 

Thank you to Tesla owners, supporters &amp; employees for helping us accelerate the world’s transiti…"
1608657083754479617,2022-12-30 02:51:50+00:00,RT @SpaceX: Falcon 9 launches 54 Starlink satellites to low-Earth orbit; completes SpaceX’s 60th mission of 2022! https://t.co/MIstToPIyL
1608324539779551232,2022-12-29 04:50:26+00:00,Significant backend server architecture changes rolled out. Twitter should feel faster.
1608308612727726082,2022-12-29 03:47:08+00:00,RT @Tesla: S3XY winter testing in New Zealand 🇳🇿❄️ https://t.co/UMttiFOhxU
1608188826291167242,2022-12-28 19:51:09+00:00,https://t.co/RheEuBzGqj
1608175680407191552,2022-12-28 18:58:55+00:00,"New Twitter policy is to follow the science, which necessarily includes reasoned questioning of the science"
1608145311347707905,2022-12-28 16:58:14+00:00,They did it! https://t.co/XsHREKx02p
1608118870107209728,2022-12-28 15:13:10+00:00,Congratulations SpaceX Falcon team on 60 successful launches this year!! https://t.co/2MwHQuS8Ta
1608036715700051969,2022-12-28 09:46:43+00:00,RT @SpaceX: Falcon 9’s first stage has landed on the A Shortfall of Gravitas droneship https://t.co/hjvWIY9cZ3
1608035943516180480,2022-12-28 09:43:39+00:00,RT @SpaceX: Liftoff! https://t.co/1U2u912GNq
1608035930983604230,2022-12-28 09:43:36+00:00,RT @SpaceX: Watch Falcon 9 launch 54 Starlink satellites to orbit → https://t.co/wGq3KkoDyY https://t.co/sHdWRcsqZV
1607997591870124032,2022-12-28 07:11:15+00:00,I’m not brainwashed!! https://t.co/4kx61uu4yy
1607996451614822404,2022-12-28 07:06:43+00:00,https://t.co/d4h33vq9HO
1607881489110425601,2022-12-27 23:29:54+00:00,RT @Tesla: Tesla ecosystem https://t.co/BLTrFuFU6o
1607869704588099587,2022-12-27 22:43:05+00:00,Why is corporate journalism rushing to defend the state instead of the people? https://t.co/uqR0MwiqCx
1607850458554449920,2022-12-27 21:26:36+00:00,"“Don’t be the clown on the clown car!”

Too late haha"
1607590239874211847,2022-12-27 04:12:35+00:00,Some nights … https://t.co/BLAUsJr4wb
1607416119496945665,2022-12-26 16:40:41+00:00,"Much more to The Twitter Files: Covid Editon than this introductory thread.

Follow-up piece to come next week, featuring leading doctors &amp; researchers from Harvard, Stanford &amp; other institutions. https://t.co/TeEeCvMZa2"
1607102133043879936,2022-12-25 19:53:01+00:00,RT @Tesla: Congrats to the 4680 cell team on achieving 868k cells built in the last 7 days—equal to 1k+ cars! 🔋 https://t.co/CaC7Js9aEL
1607096125567414272,2022-12-25 19:29:09+00:00,Merry Christmas &amp; Good Cheer to All! https://t.co/SupTpz4bLY
1606943506509238273,2022-12-25 09:22:42+00:00,"RT @mtaibbi: Twitter Files Thread: The Spies Who Loved Twitter:

https://t.co/cAHz9VxfyS"
1606617504708976641,2022-12-24 11:47:17+00:00,Fractal of Rube Goldberg machines …
1606601413391704064,2022-12-24 10:43:20+00:00,"RT @mtaibbi: Notes on a Friday Night:
https://t.co/QvmYOUQb1v"
1606396336592498688,2022-12-23 21:08:26+00:00,Twitter votes for the right haha https://t.co/hx2nVqGQue
1606347557071790080,2022-12-23 17:54:36+00:00,RT @Tesla: Giga Texas is alive ⚡️🚘
1606213070354731008,2022-12-23 09:00:12+00:00,Tweet impression count should
1606107465174503424,2022-12-23 02:00:34+00:00,Tweets are read ~100 times more than they are liked
1605995925339398145,2022-12-22 18:37:21+00:00,Congratulations Tesla Team!! https://t.co/GMYMtT2SMC
