,user,topics,cnt
679,amcafee,86,33
680,amcafee,87,3
681,amcafee,89,25
682,amcafee,90,97
683,amcafee,91,2
684,amcafee,93,29
685,amcafee,94,2
686,amcafee,95,2
687,amcafee,96,7
688,amcafee,97,14
689,amcafee,98,11
690,amywebb,0,13
691,amywebb,1,24
692,amywebb,2,2
693,amywebb,3,44
694,amywebb,4,46
695,amywebb,5,25
696,amywebb,6,1
697,amywebb,7,12
698,amywebb,8,31
699,amywebb,9,3
700,amywebb,10,21
701,amywebb,11,2
702,amywebb,12,58
703,amywebb,13,37
704,amywebb,16,47
705,amywebb,17,7
706,amywebb,18,19
707,amywebb,19,13
708,amywebb,20,5
709,amywebb,21,2
710,amywebb,22,23
711,amywebb,24,1
712,amywebb,25,91
713,amywebb,26,15
714,amywebb,27,19
715,amywebb,28,35
716,amywebb,29,7
717,amywebb,30,3
718,amywebb,31,6
719,amywebb,32,22
720,amywebb,33,1
721,amywebb,34,8
722,amywebb,36,32
723,amywebb,37,9
724,amywebb,38,12
725,amywebb,40,9
726,amywebb,41,16
727,amywebb,43,32
728,amywebb,44,8
729,amywebb,45,52
730,amywebb,46,2
731,amywebb,47,1
732,amywebb,48,1
733,amywebb,49,59
734,amywebb,50,3
735,amywebb,51,2
736,amywebb,52,5
737,amywebb,54,9
738,amywebb,55,37
739,amywebb,56,3
740,amywebb,57,69
741,amywebb,58,8
742,amywebb,59,54
743,amywebb,60,23
744,amywebb,61,16
745,amywebb,62,3
746,amywebb,63,11
747,amywebb,64,4
748,amywebb,65,4
749,amywebb,66,53
750,amywebb,67,13
751,amywebb,68,24
752,amywebb,69,30
753,amywebb,71,1
754,amywebb,72,17
755,amywebb,73,2
756,amywebb,74,6
757,amywebb,75,15
758,amywebb,76,8
759,amywebb,77,55
760,amywebb,78,3
761,amywebb,79,45
762,amywebb,80,5
763,amywebb,81,41
764,amywebb,82,10
765,amywebb,83,60
766,amywebb,84,58
767,amywebb,85,40
768,amywebb,86,26
769,amywebb,87,28
770,amywebb,88,1
771,amywebb,89,13
772,amywebb,90,66
773,amywebb,91,9
774,amywebb,92,6
775,amywebb,93,41
776,amywebb,94,16
777,amywebb,95,11
778,amywebb,96,5
779,amywebb,97,53
780,amywebb,98,26
781,amywebb,99,2
782,anabjain,0,4
783,anabjain,1,76
784,anabjain,2,1
785,anabjain,3,6
786,anabjain,4,5
787,anabjain,5,1
788,anabjain,7,5
789,anabjain,8,5
790,anabjain,9,1
791,anabjain,10,2
792,anabjain,12,16
793,anabjain,13,11
794,anabjain,14,1
795,anabjain,16,24
796,anabjain,17,5
797,anabjain,22,1
798,anabjain,23,9
799,anabjain,25,7
800,anabjain,26,3
801,anabjain,27,2
802,anabjain,28,20
803,anabjain,30,1
804,anabjain,31,1
805,anabjain,32,2
806,anabjain,34,1
807,anabjain,36,4
808,anabjain,39,8
809,anabjain,42,17
810,anabjain,43,1
811,anabjain,44,1
812,anabjain,45,84
813,anabjain,48,1
814,anabjain,49,8
815,anabjain,55,2
816,anabjain,57,15
817,anabjain,58,4
818,anabjain,59,97
819,anabjain,60,1
820,anabjain,61,1
821,anabjain,62,1
822,anabjain,63,61
823,anabjain,65,1
824,anabjain,66,23
825,anabjain,67,1
826,anabjain,68,2
827,anabjain,69,11
828,anabjain,72,10
829,anabjain,73,2
830,anabjain,74,1
831,anabjain,75,1
832,anabjain,76,1
833,anabjain,77,7
834,anabjain,79,5
835,anabjain,80,1
836,anabjain,81,2
837,anabjain,82,1
838,anabjain,83,2
839,anabjain,84,25
840,anabjain,85,38
841,anabjain,86,6
842,anabjain,87,14
843,anabjain,89,22
844,anabjain,90,7
845,anabjain,91,1
846,anabjain,93,7
847,anabjain,94,2
848,anabjain,95,2
849,anabjain,96,35
850,anabjain,97,9
851,andikaraboutis,0,7
852,andikaraboutis,1,2
853,andikaraboutis,5,1
854,andikaraboutis,7,4
855,andikaraboutis,8,7
856,andikaraboutis,13,1
857,andikaraboutis,14,1
858,andikaraboutis,15,3
859,andikaraboutis,16,1
860,andikaraboutis,17,1
861,andikaraboutis,19,2
862,andikaraboutis,21,1
863,andikaraboutis,22,2
864,andikaraboutis,23,1
865,andikaraboutis,24,1
866,andikaraboutis,25,1
867,andikaraboutis,26,1
868,andikaraboutis,28,2
869,andikaraboutis,29,1
870,andikaraboutis,31,1
871,andikaraboutis,33,2
872,andikaraboutis,34,1
873,andikaraboutis,42,1
874,andikaraboutis,44,2
875,andikaraboutis,45,1
876,andikaraboutis,46,2
877,andikaraboutis,47,1
878,andikaraboutis,49,1
879,andikaraboutis,52,3
880,andikaraboutis,55,1
881,andikaraboutis,57,5
882,andikaraboutis,59,1
883,andikaraboutis,62,1
884,andikaraboutis,64,1
885,andikaraboutis,65,2
886,andikaraboutis,67,1
887,andikaraboutis,68,1
888,andikaraboutis,70,1
889,andikaraboutis,72,2
890,andikaraboutis,73,4
891,andikaraboutis,74,5
892,andikaraboutis,77,3
893,andikaraboutis,79,1
894,andikaraboutis,80,2
895,andikaraboutis,81,1
896,andikaraboutis,83,1
897,andikaraboutis,85,2
898,andikaraboutis,86,1
899,andikaraboutis,89,1
900,andikaraboutis,90,1
901,andikaraboutis,93,2
902,andikaraboutis,94,11
903,andikaraboutis,95,1
904,andikaraboutis,96,2
905,andrewincontact,0,7
906,andrewincontact,2,39
907,andrewincontact,4,1
908,andrewincontact,6,23
909,andrewincontact,7,1
910,andrewincontact,8,2
911,andrewincontact,9,1
